:DF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDDF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,TTYS,RT,CBLU,RT,RWIL,RT,
7,bda2.wav,1,486,1,470,1,471,
1,bda3.wav,1,780,1,448,1,521,
3,bda4.wav,1,522,1,402,1,476,
2,bda5.wav,1,552,4,541,1,746,
0,bda6.wav,1,378,4,455,4,418,
4,bda7.wav,1,322,4,419,4,458,
5,bda8.wav,1,272,4,369,4,436,
6,bda9.wav,1,1221,4,548,4,616,
7,bda2.wav,1,1051,1,331,1,550,
6,bda3.wav,1,120,1,404,4,485,
5,bda4.wav,1,123,1,300,1,455,
3,bda5.wav,1,263,1,367,1,556,
4,bda6.wav,1,242,4,288,4,579,
2,bda7.wav,1,218,4,362,4,430,
1,bda8.wav,1,251,4,399,4,410,
0,bda9.wav,1,241,4,366,4,533,
1,bda2.wav,1,626,1,399,1,563,
4,bda3.wav,1,661,1,421,1,543,
3,bda4.wav,1,1245,1,348,1,502,
6,bda5.wav,1,1083,1,463,4,778,
0,bda6.wav,1,469,4,662,4,591,
7,bda7.wav,1,965,4,337,4,441,
2,bda8.wav,1,399,4,555,4,621,
5,bda9.wav,1,880,4,429,4,650,
0,bda2.wav,1,716,1,454,1,439,
6,bda3.wav,1,651,1,404,1,636,
1,bda4.wav,1,604,1,433,1,621,
2,bda5.wav,1,510,4,624,1,688,
3,bda6.wav,1,469,4,1240,4,580,
4,bda7.wav,1,918,4,578,4,542,
7,bda8.wav,1,786,4,391,4,469,
5,bda9.wav,1,1289,4,607,4,558,
5,bda2.wav,1,391,1,435,1,615,
2,bda3.wav,1,1245,1,474,1,587,
7,bda4.wav,1,546,1,407,1,562,
6,bda5.wav,1,245,4,406,1,952,
4,bda6.wav,1,259,4,659,4,508,
0,bda7.wav,1,617,4,523,4,498,
3,bda8.wav,1,419,4,530,4,557,
1,bda9.wav,1,392,4,457,4,482,
2,bda2.wav,1,1115,1,389,1,488,
4,bda3.wav,1,189,1,378,1,749,
5,bda4.wav,1,591,1,583,1,580,
1,bda5.wav,1,699,4,502,1,861,
7,bda6.wav,1,575,4,598,4,493,
6,bda7.wav,1,396,4,614,4,868,
0,bda8.wav,1,374,4,480,4,640,
3,bda9.wav,1,200,4,377,4,590,
2,bda2.wav,1,573,1,426,1,562,
7,bda3.wav,1,113,4,418,1,949,
3,bda4.wav,1,277,1,427,1,643,
1,bda5.wav,1,341,1,429,1,707,
4,bda6.wav,1,836,4,930,4,401,
0,bda7.wav,1,379,4,418,4,516,
5,bda8.wav,1,288,4,421,4,643,
6,bda9.wav,1,150,4,435,4,508,
7,bda2.wav,1,890,1,367,1,670,
2,bda3.wav,1,378,1,359,1,584,
3,bda4.wav,1,80,1,459,1,626,
0,bda5.wav,1,1076,4,570,1,791,
4,bda6.wav,1,513,4,517,4,489,
5,bda7.wav,1,420,4,585,4,552,
6,bda8.wav,1,382,4,624,4,540,
1,bda9.wav,1,298,4,621,4,407,
5,bda2.wav,1,1049,1,358,1,478,
7,bda3.wav,1,715,1,480,1,606,
0,bda4.wav,1,279,1,545,1,627,
1,bda5.wav,1,545,1,715,1,555,
4,bda6.wav,1,402,4,422,4,504,
6,bda7.wav,1,275,4,358,4,666,
3,bda8.wav,1,548,4,493,4,507,
2,bda9.wav,1,286,4,517,4,665,
7,bda2.wav,1,133,1,511,1,548,
3,bda3.wav,1,188,1,400,1,504,
4,bda4.wav,1,15,1,469,1,409,
1,bda5.wav,1,216,1,539,1,530,
6,bda6.wav,1,150,1,606,4,591,
5,bda7.wav,1,250,4,495,4,650,
2,bda8.wav,1,237,4,416,4,443,
0,bda9.wav,1,275,4,670,4,495,
3,bda2.wav,1,1010,1,355,1,881,
6,bda3.wav,1,441,1,414,1,517,
5,bda4.wav,1,344,1,466,1,828,
4,bda5.wav,1,306,1,526,4,611,
0,bda6.wav,1,36,4,761,4,470,
7,bda7.wav,1,238,4,463,4,671,
1,bda8.wav,1,288,4,545,4,597,
2,bda9.wav,1,490,4,505,4,425,
4,bda2.wav,1,332,1,368,1,757,
5,bda3.wav,1,64,1,366,1,581,
7,bda4.wav,1,29,1,435,1,619,
3,bda5.wav,1,680,1,393,1,423,
0,bda6.wav,1,77,4,494,4,454,
6,bda7.wav,1,51,4,641,4,585,
1,bda8.wav,1,56,4,583,4,414,
2,bda9.wav,1,728,4,369,4,472,
3,bda2.wav,1,385,1,404,1,617,
5,bda3.wav,1,340,1,457,1,509,
7,bda4.wav,1,245,1,461,1,736,
1,bda5.wav,1,1051,1,419,1,609,
6,bda6.wav,1,308,4,359,4,436,
0,bda7.wav,1,469,4,485,4,481,
4,bda8.wav,1,413,4,504,4,401,
2,bda9.wav,1,379,4,493,4,480,
5,bda2.wav,1,85,1,389,1,520,
