:DF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDDF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,ASAV,RT,,RT,RCHE,RT,
1,bda2.wav,1,515,0,0,1,390,
4,bda3.wav,1,1041,0,0,1,663,
5,bda4.wav,1,557,0,0,1,310,
7,bda5.wav,4,805,0,0,1,359,
2,bda6.wav,1,561,0,0,4,385,
0,bda7.wav,1,516,0,0,4,315,
6,bda8.wav,4,1046,0,0,4,252,
3,bda9.wav,1,634,0,0,4,255,
5,bda2.wav,1,547,0,0,1,441,
3,bda3.wav,1,494,0,0,1,406,
6,bda4.wav,1,664,0,0,1,497,
2,bda5.wav,1,500,0,0,1,836,
7,bda6.wav,1,539,0,0,4,332,
0,bda7.wav,4,656,0,0,4,335,
1,bda8.wav,1,658,0,0,4,332,
4,bda9.wav,1,927,0,0,4,249,
6,bda2.wav,1,587,0,0,1,664,
7,bda3.wav,1,523,0,0,1,295,
4,bda4.wav,1,529,0,0,1,433,
3,bda5.wav,1,477,0,0,1,494,
2,bda6.wav,4,696,0,0,1,540,
5,bda7.wav,1,521,0,0,4,291,
1,bda8.wav,1,534,0,0,4,256,
0,bda9.wav,1,590,0,0,4,344,
5,bda2.wav,1,496,0,0,1,320,
3,bda3.wav,1,1017,0,0,1,330,
2,bda4.wav,1,497,0,0,1,325,
6,bda5.wav,4,403,0,0,1,418,
7,bda6.wav,4,573,0,0,4,523,
0,bda7.wav,1,487,0,0,4,362,
1,bda8.wav,4,462,0,0,4,289,
4,bda9.wav,4,468,0,0,4,274,
2,bda2.wav,1,572,0,0,1,387,
5,bda3.wav,1,480,0,0,1,290,
1,bda4.wav,1,577,0,0,1,441,
4,bda5.wav,1,349,0,0,1,232,
6,bda6.wav,1,660,0,0,1,303,
0,bda7.wav,4,502,0,0,4,343,
7,bda8.wav,1,699,0,0,4,298,
3,bda9.wav,1,455,0,0,4,352,
6,bda2.wav,1,544,0,0,1,435,
4,bda3.wav,1,471,0,0,1,427,
2,bda4.wav,1,447,0,0,4,237,
0,bda5.wav,1,547,0,0,4,609,
5,bda6.wav,1,478,0,0,1,388,
7,bda7.wav,1,533,0,0,4,295,
3,bda8.wav,1,392,0,0,4,319,
1,bda9.wav,4,371,0,0,4,384,
3,bda2.wav,1,273,0,0,1,272,
2,bda3.wav,1,280,0,0,1,434,
0,bda4.wav,1,431,0,0,1,417,
6,bda5.wav,4,461,0,0,1,469,
1,bda6.wav,4,511,0,0,4,530,
4,bda7.wav,1,632,0,0,4,508,
5,bda8.wav,4,524,0,0,4,391,
7,bda9.wav,1,613,0,0,4,421,
0,bda2.wav,1,542,0,0,1,414,
1,bda3.wav,1,604,0,0,1,435,
4,bda4.wav,1,594,0,0,1,327,
7,bda5.wav,1,545,0,0,1,395,
5,bda6.wav,1,575,0,0,4,408,
3,bda7.wav,1,599,0,0,4,281,
2,bda8.wav,1,660,0,0,4,308,
6,bda9.wav,1,607,0,0,4,298,
0,bda2.wav,1,527,0,0,1,339,
1,bda3.wav,1,708,0,0,1,318,
2,bda4.wav,1,575,0,0,1,295,
3,bda5.wav,1,522,0,0,1,290,
4,bda6.wav,1,534,0,0,1,291,
7,bda7.wav,1,550,0,0,4,286,
5,bda8.wav,1,532,0,0,4,359,
6,bda9.wav,1,585,0,0,4,428,
6,bda2.wav,1,846,0,0,1,420,
2,bda3.wav,1,711,0,0,1,275,
7,bda4.wav,1,583,0,0,1,350,
1,bda5.wav,1,597,0,0,1,441,
0,bda6.wav,1,583,0,0,4,467,
3,bda7.wav,1,881,0,0,4,305,
5,bda8.wav,1,566,0,0,4,363,
4,bda9.wav,1,558,0,0,4,258,
6,bda2.wav,1,501,0,0,1,399,
1,bda3.wav,1,505,0,0,1,499,
0,bda4.wav,4,438,0,0,1,291,
5,bda5.wav,1,491,0,0,1,424,
7,bda6.wav,4,935,0,0,4,306,
3,bda7.wav,1,660,0,0,4,344,
2,bda8.wav,4,605,0,0,4,436,
4,bda9.wav,4,332,0,0,4,310,
7,bda2.wav,1,555,0,0,1,420,
6,bda3.wav,1,512,0,0,1,456,
2,bda4.wav,1,558,0,0,1,328,
1,bda5.wav,4,468,0,0,1,403,
3,bda6.wav,4,710,0,0,4,357,
4,bda7.wav,4,590,0,0,4,313,
5,bda8.wav,4,809,0,0,4,332,
0,bda9.wav,1,523,0,0,4,350,
6,bda2.wav,1,230,0,0,1,308,
4,bda3.wav,1,530,0,0,1,528,
1,bda4.wav,1,498,0,0,1,357,
2,bda5.wav,4,1319,0,0,1,276,
7,bda6.wav,1,697,0,0,4,511,
5,bda7.wav,1,425,0,0,4,267,
0,bda8.wav,4,444,0,0,4,357,
3,bda9.wav,4,387,0,0,4,276,
7,bda2.wav,1,634,0,0,1,455,
5,bda3.wav,1,580,0,0,1,430,
0,bda4.wav,1,581,0,0,1,344,
2,bda5.wav,4,447,0,0,4,272,
1,bda6.wav,1,563,0,0,4,415,
4,bda7.wav,4,659,0,0,1,519,
3,bda8.wav,1,453,0,0,4,459,
6,bda9.wav,1,670,0,0,4,386,
7,bda2.wav,1,865,0,0,1,461,
0,bda3.wav,4,448,0,0,1,484,
5,bda4.wav,4,594,0,0,1,286,
6,bda5.wav,1,593,0,0,1,358,
2,bda6.wav,4,655,0,0,4,359,
4,bda7.wav,4,629,0,0,4,415,
1,bda8.wav,4,544,0,0,4,351,
3,bda9.wav,4,532,0,0,4,385,
0,bda2.wav,1,420,0,0,1,357,
2,bda3.wav,1,585,0,0,1,324,
6,bda4.wav,1,543,0,0,1,394,
5,bda5.wav,4,562,0,0,1,291,
3,bda6.wav,1,666,0,0,1,332,
7,bda7.wav,1,526,0,0,4,317,
1,bda8.wav,4,623,0,0,4,290,
4,bda9.wav,1,640,0,0,4,397,
3,bda2.wav,1,681,0,0,1,822,
6,bda3.wav,1,512,0,0,1,445,
4,bda4.wav,1,588,0,0,1,339,
2,bda5.wav,1,535,0,0,1,525,
7,bda6.wav,1,580,0,0,1,467,
5,bda7.wav,1,589,0,0,1,319,
0,bda8.wav,1,671,0,0,4,310,
1,bda9.wav,1,828,0,0,4,313,
6,bda2.wav,1,532,0,0,1,427,
0,bda3.wav,1,787,0,0,1,376,
5,bda4.wav,1,668,0,0,1,340,
3,bda5.wav,1,695,0,0,1,346,
7,bda6.wav,1,592,0,0,1,409,
4,bda7.wav,1,494,0,0,4,336,
2,bda8.wav,1,415,0,0,4,414,
1,bda9.wav,1,517,0,0,4,265,
