:DF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDDF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,KPAO,RT,ANAP,RT,,RT,
7,bda2.wav,1,568,1,576,0,0,
5,bda3.wav,1,709,1,482,0,0,
3,bda4.wav,1,521,1,537,0,0,
6,bda5.wav,1,748,4,873,0,0,
0,bda6.wav,1,672,1,613,0,0,
4,bda7.wav,1,1209,4,1012,0,0,
2,bda8.wav,1,753,4,584,0,0,
1,bda9.wav,1,2338,4,1383,0,0,
2,bda2.wav,1,638,1,519,0,0,
5,bda3.wav,1,780,1,546,0,0,
4,bda4.wav,1,540,1,513,0,0,
7,bda5.wav,1,696,1,664,0,0,
1,bda6.wav,1,624,4,544,0,0,
6,bda7.wav,1,485,4,451,0,0,
3,bda8.wav,1,865,4,558,0,0,
0,bda9.wav,4,887,4,487,0,0,
1,bda2.wav,1,490,1,524,0,0,
6,bda3.wav,1,564,1,564,0,0,
2,bda4.wav,1,563,1,553,0,0,
7,bda5.wav,1,628,1,607,0,0,
3,bda6.wav,1,794,4,488,0,0,
4,bda7.wav,1,372,4,476,0,0,
0,bda8.wav,4,570,4,478,0,0,
5,bda9.wav,1,646,4,516,0,0,
2,bda2.wav,1,531,1,466,0,0,
1,bda3.wav,1,448,1,455,0,0,
7,bda4.wav,1,409,1,432,0,0,
4,bda5.wav,1,563,1,492,0,0,
6,bda6.wav,1,506,4,373,0,0,
3,bda7.wav,1,466,4,455,0,0,
0,bda8.wav,1,636,4,484,0,0,
5,bda9.wav,1,521,4,440,0,0,
3,bda2.wav,1,535,1,443,0,0,
1,bda3.wav,1,527,1,544,0,0,
5,bda4.wav,1,523,1,465,0,0,
6,bda5.wav,1,487,1,429,0,0,
0,bda6.wav,1,629,1,558,0,0,
7,bda7.wav,1,511,4,466,0,0,
2,bda8.wav,4,357,4,518,0,0,
4,bda9.wav,4,514,4,461,0,0,
7,bda2.wav,1,531,1,524,0,0,
3,bda3.wav,1,462,1,441,0,0,
0,bda4.wav,1,497,1,458,0,0,
5,bda5.wav,1,687,1,472,0,0,
6,bda6.wav,1,484,4,684,0,0,
2,bda7.wav,1,455,4,461,0,0,
4,bda8.wav,1,657,4,447,0,0,
1,bda9.wav,1,575,4,627,0,0,
3,bda2.wav,4,590,1,482,0,0,
2,bda3.wav,1,534,1,403,0,0,
5,bda4.wav,1,650,1,421,0,0,
4,bda5.wav,1,517,1,431,0,0,
6,bda6.wav,1,516,4,475,0,0,
0,bda7.wav,1,493,4,450,0,0,
7,bda8.wav,1,537,4,479,0,0,
1,bda9.wav,1,463,4,496,0,0,
3,bda2.wav,1,512,1,467,0,0,
0,bda3.wav,1,721,1,506,0,0,
7,bda4.wav,1,465,1,399,0,0,
1,bda5.wav,1,567,1,512,0,0,
6,bda6.wav,1,515,4,442,0,0,
2,bda7.wav,1,552,4,498,0,0,
5,bda8.wav,1,571,4,436,0,0,
4,bda9.wav,1,530,4,446,0,0,
4,bda2.wav,1,499,1,533,0,0,
0,bda3.wav,1,508,1,495,0,0,
5,bda4.wav,1,601,1,438,0,0,
3,bda5.wav,1,515,1,489,0,0,
6,bda6.wav,1,449,4,415,0,0,
2,bda7.wav,1,459,4,443,0,0,
1,bda8.wav,1,482,4,443,0,0,
7,bda9.wav,1,495,4,451,0,0,
3,bda2.wav,1,448,1,424,0,0,
0,bda3.wav,1,510,1,416,0,0,
1,bda4.wav,1,556,1,383,0,0,
5,bda5.wav,1,501,1,454,0,0,
6,bda6.wav,1,569,4,438,0,0,
