:DF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDDF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,SHAN,RT,MBUT,RT,,RT,
6,bda2.wav,1,667,1,744,0,0,
5,bda3.wav,1,554,1,605,0,0,
4,bda4.wav,1,524,4,276,0,0,
0,bda5.wav,1,669,1,318,0,0,
1,bda6.wav,4,856,4,402,0,0,
7,bda7.wav,4,692,4,709,0,0,
3,bda8.wav,4,1211,0,0,0,0,
2,bda9.wav,4,488,4,372,0,0,
5,bda2.wav,1,428,1,290,0,0,
4,bda3.wav,1,438,1,342,0,0,
3,bda4.wav,1,452,1,332,0,0,
1,bda5.wav,4,628,1,295,0,0,
2,bda6.wav,4,511,4,394,0,0,
6,bda7.wav,4,439,4,445,0,0,
7,bda8.wav,4,425,4,275,0,0,
0,bda9.wav,4,357,4,306,0,0,
6,bda2.wav,1,408,1,275,0,0,
5,bda3.wav,1,439,1,319,0,0,
2,bda4.wav,1,494,1,301,0,0,
3,bda5.wav,4,520,4,307,0,0,
7,bda6.wav,4,367,4,439,0,0,
0,bda7.wav,4,493,4,347,0,0,
1,bda8.wav,4,354,4,278,0,0,
4,bda9.wav,4,371,4,315,0,0,
3,bda2.wav,1,410,1,365,0,0,
0,bda3.wav,1,429,1,331,0,0,
1,bda4.wav,1,402,1,470,0,0,
6,bda5.wav,4,498,1,415,0,0,
4,bda6.wav,4,407,4,335,0,0,
2,bda7.wav,4,428,4,557,0,0,
7,bda8.wav,4,352,4,417,0,0,
5,bda9.wav,4,632,1,365,0,0,
3,bda2.wav,1,547,1,381,0,0,
4,bda3.wav,1,457,1,378,0,0,
5,bda4.wav,1,411,1,366,0,0,
7,bda5.wav,1,471,4,588,0,0,
1,bda6.wav,4,426,4,404,0,0,
0,bda7.wav,4,442,4,376,0,0,
2,bda8.wav,4,383,4,377,0,0,
6,bda9.wav,4,434,4,408,0,0,
5,bda2.wav,1,437,1,358,0,0,
1,bda3.wav,1,511,1,372,0,0,
7,bda4.wav,1,469,1,371,0,0,
0,bda5.wav,1,408,1,329,0,0,
2,bda6.wav,4,367,4,348,0,0,
4,bda7.wav,4,377,4,457,0,0,
6,bda8.wav,4,526,4,387,0,0,
3,bda9.wav,4,398,4,362,0,0,
5,bda2.wav,1,426,1,363,0,0,
1,bda3.wav,1,379,1,326,0,0,
0,bda4.wav,1,421,4,340,0,0,
6,bda5.wav,1,570,1,505,0,0,
7,bda6.wav,4,501,4,444,0,0,
2,bda7.wav,4,340,4,365,0,0,
4,bda8.wav,4,406,4,367,0,0,
3,bda9.wav,4,423,4,332,0,0,
2,bda2.wav,1,434,1,419,0,0,
5,bda3.wav,1,509,1,423,0,0,
1,bda4.wav,1,421,1,331,0,0,
7,bda5.wav,1,463,1,343,0,0,
