:DF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDDF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,,RT,,RT,CALB,RT,
5,bda2.wav,0,0,0,0,1,969,
6,bda3.wav,0,0,0,0,1,606,
0,bda4.wav,0,0,0,0,1,712,
4,bda5.wav,0,0,0,0,1,568,
2,bda6.wav,0,0,0,0,1,793,
7,bda7.wav,0,0,0,0,1,1850,
3,bda8.wav,0,0,0,0,1,1409,
1,bda9.wav,0,0,0,0,4,583,
6,bda2.wav,0,0,0,0,1,684,
7,bda3.wav,0,0,0,0,1,638,
4,bda4.wav,0,0,0,0,1,575,
0,bda5.wav,0,0,0,0,4,706,
1,bda6.wav,0,0,0,0,1,629,
5,bda7.wav,0,0,0,0,4,596,
2,bda8.wav,0,0,0,0,4,759,
3,bda9.wav,0,0,0,0,4,657,
7,bda2.wav,0,0,0,0,1,643,
2,bda3.wav,0,0,0,0,1,705,
5,bda4.wav,0,0,0,0,1,603,
3,bda5.wav,0,0,0,0,1,1104,
0,bda6.wav,0,0,0,0,4,813,
1,bda7.wav,0,0,0,0,4,531,
4,bda8.wav,0,0,0,0,4,664,
6,bda9.wav,0,0,0,0,4,600,
5,bda2.wav,0,0,0,0,1,821,
2,bda3.wav,0,0,0,0,1,722,
0,bda4.wav,0,0,0,0,1,748,
6,bda5.wav,0,0,0,0,1,616,
7,bda6.wav,0,0,0,0,1,855,
1,bda7.wav,0,0,0,0,4,652,
3,bda8.wav,0,0,0,0,4,760,
4,bda9.wav,0,0,0,0,4,756,
1,bda2.wav,0,0,0,0,1,657,
3,bda3.wav,0,0,0,0,1,698,
7,bda4.wav,0,0,0,0,1,805,
0,bda5.wav,0,0,0,0,1,764,
6,bda6.wav,0,0,0,0,4,632,
5,bda7.wav,0,0,0,0,4,624,
2,bda8.wav,0,0,0,0,4,592,
4,bda9.wav,0,0,0,0,4,585,
7,bda2.wav,0,0,0,0,1,669,
2,bda3.wav,0,0,0,0,1,641,
0,bda4.wav,0,0,0,0,1,705,
5,bda5.wav,0,0,0,0,1,703,
3,bda6.wav,0,0,0,0,1,1180,
6,bda7.wav,0,0,0,0,4,648,
1,bda8.wav,0,0,0,0,4,621,
4,bda9.wav,0,0,0,0,4,669,
1,bda2.wav,0,0,0,0,1,729,
4,bda3.wav,0,0,0,0,1,751,
6,bda4.wav,0,0,0,0,1,667,
7,bda5.wav,0,0,0,0,1,767,
2,bda6.wav,0,0,0,0,4,641,
3,bda7.wav,0,0,0,0,4,632,
0,bda8.wav,0,0,0,0,4,853,
5,bda9.wav,0,0,0,0,4,775,
1,bda2.wav,0,0,0,0,1,701,
0,bda3.wav,0,0,0,0,1,669,
5,bda4.wav,0,0,0,0,1,622,
7,bda5.wav,0,0,0,0,1,786,
3,bda6.wav,0,0,0,0,4,755,
2,bda7.wav,0,0,0,0,4,804,
6,bda8.wav,0,0,0,0,4,617,
4,bda9.wav,0,0,0,0,4,666,
4,bda2.wav,0,0,0,0,1,665,
7,bda3.wav,0,0,0,0,1,681,
1,bda4.wav,0,0,0,0,1,645,
6,bda5.wav,0,0,0,0,1,680,
2,bda6.wav,0,0,0,0,4,725,
3,bda7.wav,0,0,0,0,1,743,
5,bda8.wav,0,0,0,0,4,575,
0,bda9.wav,0,0,0,0,4,631,
4,bda2.wav,0,0,0,0,1,729,
6,bda3.wav,0,0,0,0,1,707,
5,bda4.wav,0,0,0,0,1,716,
2,bda5.wav,0,0,0,0,4,636,
1,bda6.wav,0,0,0,0,1,677,
7,bda7.wav,0,0,0,0,1,684,
0,bda8.wav,0,0,0,0,1,689,
3,bda9.wav,0,0,0,0,4,593,
3,bda2.wav,0,0,0,0,1,685,
5,bda3.wav,0,0,0,0,1,685,
7,bda4.wav,0,0,0,0,1,723,
1,bda5.wav,0,0,0,0,1,778,
0,bda6.wav,0,0,0,0,4,606,
