:DF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDDF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,ESAM,RT,SWON,RT,MZHA,RT,
6,bda2.wav,1,728,1,859,1,1029,
0,bda3.wav,1,636,1,650,1,625,
1,bda4.wav,1,611,1,496,1,665,
7,bda5.wav,1,720,1,602,4,822,
2,bda6.wav,1,702,4,386,4,535,
4,bda7.wav,1,642,4,610,4,697,
5,bda8.wav,0,0,4,2840,4,2918,
3,bda9.wav,4,603,4,418,4,715,
2,bda2.wav,1,582,1,845,1,632,
0,bda3.wav,1,614,1,581,1,485,
1,bda4.wav,1,575,1,553,1,622,
5,bda5.wav,1,696,4,773,4,621,
6,bda6.wav,1,482,4,390,4,611,
7,bda7.wav,1,723,4,781,4,608,
4,bda8.wav,4,525,4,710,4,664,
3,bda9.wav,4,426,4,464,4,445,
5,bda2.wav,1,637,1,587,1,638,
0,bda3.wav,1,573,1,546,1,487,
2,bda4.wav,1,598,1,572,1,501,
1,bda5.wav,1,535,1,470,4,685,
3,bda6.wav,1,523,4,475,4,522,
6,bda7.wav,1,750,4,434,4,453,
4,bda8.wav,4,599,4,375,4,1068,
7,bda9.wav,4,535,4,493,4,537,
3,bda2.wav,1,574,1,713,1,805,
6,bda3.wav,1,802,1,509,1,712,
4,bda4.wav,1,520,1,432,1,587,
1,bda5.wav,1,490,4,379,1,713,
5,bda6.wav,1,573,4,385,4,503,
7,bda7.wav,1,615,4,618,4,471,
0,bda8.wav,4,416,4,414,4,713,
2,bda9.wav,4,488,4,901,4,637,
5,bda2.wav,1,564,1,510,1,569,
0,bda3.wav,1,511,1,542,1,647,
1,bda4.wav,1,629,1,533,1,987,
3,bda5.wav,1,595,4,557,4,732,
4,bda6.wav,1,527,4,476,4,522,
6,bda7.wav,1,478,4,455,4,692,
2,bda8.wav,1,581,4,408,4,454,
7,bda9.wav,4,528,4,451,4,540,
4,bda2.wav,1,571,1,516,1,568,
7,bda3.wav,1,1250,1,665,1,601,
5,bda4.wav,1,517,1,403,1,493,
1,bda5.wav,1,571,1,458,4,1317,
0,bda6.wav,1,696,4,440,4,472,
2,bda7.wav,1,729,4,346,4,432,
6,bda8.wav,4,526,4,494,4,719,
3,bda9.wav,4,571,4,382,4,491,
4,bda2.wav,1,543,1,702,1,537,
1,bda3.wav,1,517,4,368,1,611,
0,bda4.wav,1,565,1,293,1,552,
5,bda5.wav,1,545,4,680,4,726,
7,bda6.wav,1,669,4,458,1,682,
6,bda7.wav,1,1123,4,553,4,438,
2,bda8.wav,4,765,4,526,4,464,
3,bda9.wav,4,496,4,637,4,611,
0,bda2.wav,1,588,1,633,1,579,
7,bda3.wav,1,726,1,952,1,473,
2,bda4.wav,1,644,1,754,1,488,
1,bda5.wav,1,875,1,489,1,838,
4,bda6.wav,1,624,4,566,4,443,
6,bda7.wav,1,708,4,456,4,426,
3,bda8.wav,4,594,4,430,4,488,
5,bda9.wav,4,455,4,448,4,508,
1,bda2.wav,1,748,1,402,1,392,
3,bda3.wav,1,730,1,499,1,500,
6,bda4.wav,1,506,1,511,1,495,
2,bda5.wav,1,819,1,671,1,699,
4,bda6.wav,1,788,4,918,4,461,
7,bda7.wav,1,625,4,763,4,528,
0,bda8.wav,4,583,4,384,4,389,
5,bda9.wav,4,556,4,574,4,445,
7,bda2.wav,1,618,1,533,1,448,
4,bda3.wav,1,921,1,568,1,547,
2,bda4.wav,1,945,1,413,1,467,
3,bda5.wav,1,737,1,817,1,708,
1,bda6.wav,1,775,4,620,4,465,
5,bda7.wav,1,592,4,435,4,330,
6,bda8.wav,4,519,4,495,4,492,
0,bda9.wav,4,830,1,748,4,442,
3,bda2.wav,1,940,1,493,1,426,
7,bda3.wav,1,1321,1,726,1,862,
5,bda4.wav,1,638,1,483,1,414,
2,bda5.wav,1,568,1,490,1,472,
6,bda6.wav,1,699,4,924,4,520,
0,bda7.wav,1,961,4,427,4,469,
4,bda8.wav,4,652,4,746,4,546,
1,bda9.wav,4,450,4,458,4,398,
6,bda2.wav,1,804,1,578,1,467,
3,bda3.wav,1,605,4,813,1,512,
1,bda4.wav,1,1126,1,561,1,485,
4,bda5.wav,1,707,1,597,1,576,
2,bda6.wav,1,685,4,399,4,470,
0,bda7.wav,1,681,4,561,4,453,
7,bda8.wav,4,884,4,623,4,482,
5,bda9.wav,4,676,4,471,4,402,
0,bda2.wav,1,634,1,478,1,450,
3,bda3.wav,1,658,1,498,1,344,
4,bda4.wav,1,722,1,585,1,387,
1,bda5.wav,1,774,1,471,4,430,
7,bda6.wav,1,1077,1,615,4,587,
2,bda7.wav,1,484,4,549,4,762,
6,bda8.wav,4,478,4,465,4,368,
5,bda9.wav,4,603,4,394,4,403,
