:DF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDDF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,NRAM,RT,,RT,KJOL,RT,
0,bda2.wav,1,1230,0,0,1,1962,
3,bda3.wav,4,1544,0,0,4,424,
4,bda4.wav,1,598,0,0,1,330,
6,bda5.wav,1,943,0,0,1,667,
7,bda6.wav,1,561,0,0,1,656,
1,bda7.wav,1,671,0,0,4,314,
5,bda8.wav,1,1650,0,0,4,1752,
2,bda9.wav,1,1651,0,0,4,257,
6,bda2.wav,1,1159,0,0,1,429,
3,bda3.wav,1,1856,0,0,1,294,
7,bda4.wav,1,1162,0,0,1,444,
1,bda5.wav,1,1108,0,0,4,379,
2,bda6.wav,1,1664,0,0,1,355,
4,bda7.wav,1,1579,0,0,4,301,
5,bda8.wav,1,682,0,0,1,392,
0,bda9.wav,0,0,0,0,1,723,
1,bda2.wav,1,912,0,0,1,272,
6,bda3.wav,1,845,0,0,1,414,
7,bda4.wav,4,700,0,0,1,257,
2,bda5.wav,1,843,0,0,1,312,
4,bda6.wav,1,1727,0,0,1,240,
3,bda7.wav,4,858,0,0,4,552,
0,bda8.wav,4,808,0,0,4,397,
5,bda9.wav,1,667,0,0,4,260,
2,bda2.wav,4,1134,0,0,1,381,
4,bda3.wav,1,437,0,0,1,201,
6,bda4.wav,1,1102,0,0,4,375,
1,bda5.wav,1,491,0,0,4,698,
0,bda6.wav,1,657,0,0,4,389,
7,bda7.wav,1,876,0,0,1,722,
3,bda8.wav,4,926,0,0,4,308,
5,bda9.wav,4,791,0,0,4,363,
1,bda2.wav,1,1217,0,0,4,407,
0,bda3.wav,4,1154,0,0,4,526,
3,bda4.wav,1,561,0,0,4,407,
2,bda5.wav,1,1488,0,0,4,241,
6,bda6.wav,1,1109,0,0,4,1197,
4,bda7.wav,4,1388,0,0,1,861,
7,bda8.wav,4,433,0,0,4,1331,
5,bda9.wav,4,649,0,0,1,1222,
7,bda2.wav,1,617,0,0,1,1601,
6,bda3.wav,4,1221,0,0,4,2538,
4,bda4.wav,1,1112,0,0,1,2202,
5,bda5.wav,1,1518,0,0,1,1560,
0,bda6.wav,1,452,0,0,4,2361,
2,bda7.wav,4,1148,0,0,4,1140,
3,bda8.wav,4,838,0,0,1,1288,
1,bda9.wav,4,461,0,0,1,942,
5,bda2.wav,1,918,0,0,4,383,
2,bda3.wav,1,584,0,0,1,519,
0,bda4.wav,1,778,0,0,4,338,
4,bda5.wav,1,881,0,0,1,424,
7,bda6.wav,1,746,0,0,1,556,
1,bda7.wav,1,651,0,0,1,686,
3,bda8.wav,1,1055,0,0,4,399,
6,bda9.wav,4,1642,0,0,1,430,
1,bda2.wav,1,540,0,0,1,333,
2,bda3.wav,4,672,0,0,4,574,
6,bda4.wav,1,1510,0,0,4,373,
5,bda5.wav,1,607,0,0,4,183,
7,bda6.wav,1,408,0,0,4,202,
0,bda7.wav,4,715,0,0,1,415,
4,bda8.wav,4,710,0,0,4,409,
3,bda9.wav,4,400,0,0,1,312,
