:DF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDDF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,NKIM,RT,,RT,,RT,
7,bda2.wav,1,560,0,0,0,0,
0,bda3.wav,1,482,0,0,0,0,
3,bda4.wav,1,459,0,0,0,0,
6,bda5.wav,1,655,0,0,0,0,
2,bda6.wav,4,508,0,0,0,0,
1,bda7.wav,4,515,0,0,0,0,
4,bda8.wav,4,513,0,0,0,0,
5,bda9.wav,4,591,0,0,0,0,
7,bda2.wav,1,514,0,0,0,0,
0,bda3.wav,1,457,0,0,0,0,
4,bda4.wav,1,509,0,0,0,0,
6,bda5.wav,1,512,0,0,0,0,
5,bda6.wav,4,494,0,0,0,0,
2,bda7.wav,4,469,0,0,0,0,
3,bda8.wav,4,447,0,0,0,0,
1,bda9.wav,4,470,0,0,0,0,
2,bda2.wav,1,466,0,0,0,0,
1,bda3.wav,1,410,0,0,0,0,
7,bda4.wav,1,459,0,0,0,0,
6,bda5.wav,1,531,0,0,0,0,
4,bda6.wav,4,451,0,0,0,0,
5,bda7.wav,4,431,0,0,0,0,
0,bda8.wav,4,397,0,0,0,0,
3,bda9.wav,4,499,0,0,0,0,
1,bda2.wav,1,452,0,0,0,0,
0,bda3.wav,1,461,0,0,0,0,
7,bda4.wav,1,472,0,0,0,0,
6,bda5.wav,4,402,0,0,0,0,
5,bda6.wav,4,425,0,0,0,0,
4,bda7.wav,4,412,0,0,0,0,
3,bda8.wav,4,380,0,0,0,0,
2,bda9.wav,4,442,0,0,0,0,
1,bda2.wav,1,469,0,0,0,0,
6,bda3.wav,1,413,0,0,0,0,
7,bda4.wav,1,483,0,0,0,0,
3,bda5.wav,1,468,0,0,0,0,
2,bda6.wav,4,427,0,0,0,0,
0,bda7.wav,4,434,0,0,0,0,
4,bda8.wav,4,418,0,0,0,0,
5,bda9.wav,4,453,0,0,0,0,
2,bda2.wav,1,469,0,0,0,0,
1,bda3.wav,1,445,0,0,0,0,
7,bda4.wav,1,439,0,0,0,0,
0,bda5.wav,1,448,0,0,0,0,
6,bda6.wav,1,421,0,0,0,0,
4,bda7.wav,4,360,0,0,0,0,
3,bda8.wav,4,479,0,0,0,0,
5,bda9.wav,4,442,0,0,0,0,
4,bda2.wav,1,469,0,0,0,0,
1,bda3.wav,1,470,0,0,0,0,
5,bda4.wav,1,433,0,0,0,0,
0,bda5.wav,1,487,0,0,0,0,
7,bda6.wav,4,436,0,0,0,0,
