:DF:ID:,Comment,D:\User1\Arty\Bowers_2day\Bowers_FL_CV\Head_IDDF.csv,Header
500,ITI,3000,MaximumWait
8,Number Of Trials,18,NumberOfPasses,1,NumberOfBlocks
B,Left Button Label,D,Right Button Label
Played at Trial,AudioWaveFile1,,RT,BNGU,RT,WKHA,RT,
0,bda2.wav,0,0,1,578,1,863,
1,bda3.wav,0,0,1,428,1,541,
3,bda4.wav,0,0,1,454,1,494,
6,bda5.wav,0,0,4,530,4,784,
5,bda6.wav,0,0,1,445,4,530,
7,bda7.wav,0,0,1,607,4,420,
2,bda8.wav,0,0,4,648,4,486,
4,bda9.wav,0,0,4,510,4,841,
1,bda2.wav,0,0,1,482,1,521,
3,bda3.wav,0,0,1,474,1,437,
6,bda4.wav,0,0,1,473,1,492,
2,bda5.wav,0,0,1,453,4,453,
7,bda6.wav,0,0,4,488,4,488,
0,bda7.wav,0,0,1,385,4,495,
4,bda8.wav,0,0,4,534,4,713,
5,bda9.wav,0,0,4,440,4,434,
0,bda2.wav,0,0,1,551,1,422,
1,bda3.wav,0,0,1,464,1,470,
2,bda4.wav,0,0,1,406,1,507,
4,bda5.wav,0,0,1,578,4,780,
7,bda6.wav,0,0,1,745,4,436,
3,bda7.wav,0,0,4,444,4,461,
5,bda8.wav,0,0,4,600,4,491,
6,bda9.wav,0,0,1,511,4,663,
0,bda2.wav,0,0,1,495,1,434,
3,bda3.wav,0,0,1,550,1,492,
2,bda4.wav,0,0,1,496,1,550,
7,bda5.wav,0,0,1,500,4,538,
4,bda6.wav,0,0,1,625,4,454,
1,bda7.wav,0,0,4,539,4,454,
5,bda8.wav,0,0,4,779,4,475,
6,bda9.wav,0,0,4,530,4,428,
2,bda2.wav,0,0,1,461,1,513,
0,bda3.wav,0,0,1,500,1,381,
1,bda4.wav,0,0,1,534,1,585,
4,bda5.wav,0,0,1,547,4,404,
3,bda6.wav,0,0,1,589,4,489,
7,bda7.wav,0,0,4,778,4,511,
6,bda8.wav,0,0,4,644,4,648,
5,bda9.wav,0,0,4,497,4,407,
3,bda2.wav,0,0,1,498,1,467,
2,bda3.wav,0,0,1,516,1,494,
1,bda4.wav,0,0,1,716,1,485,
7,bda5.wav,0,0,1,549,1,752,
4,bda6.wav,0,0,1,502,4,741,
5,bda7.wav,0,0,1,591,4,512,
6,bda8.wav,0,0,4,536,4,560,
0,bda9.wav,0,0,4,498,4,488,
2,bda2.wav,0,0,4,633,1,450,
5,bda3.wav,0,0,1,529,1,676,
4,bda4.wav,0,0,1,503,1,569,
0,bda5.wav,0,0,1,555,4,605,
3,bda6.wav,0,0,1,451,4,547,
1,bda7.wav,0,0,4,554,4,486,
7,bda8.wav,0,0,4,573,4,492,
6,bda9.wav,0,0,4,622,4,488,
2,bda2.wav,0,0,1,449,1,363,
1,bda3.wav,0,0,1,429,1,372,
0,bda4.wav,0,0,1,446,1,399,
